#model_version:v2026.06.15,score_date:2026-09-24T12:00:20Z
cve,epss,percentile
CVE-2001-0376,0.01351,0.70309
CVE-2001-0377,0.01614,0.7493
CVE-2001-0378,0.00309,0.21036
CVE-2001-0379,0.00525,0.41982
CVE-2001-0380,0.05242,0.92216
CVE-2001-0381,0.00374,0.28511
CVE-2001-0382,0.013,0.69196
CVE-2001-0383,0.06454,0.93475
CVE-2001-0384,0.00651,0.48965
CVE-2001-0385,0.0839,0.94778
CVE-2001-0386,0.03318,0.88098
CVE-2001-0387,0.00374,0.28557
CVE-2001-0388,0.02749,0.85576
CVE-2001-0389,0.01448,0.72177
CVE-2001-0390,0.05088,0.9203
CVE-2001-0391,0.01272,0.68577
CVE-2001-0392,0.01258,0.68274
CVE-2001-0393,0.01272,0.68583
CVE-2001-0394,0.01614,0.7493
CVE-2001-0395,0.01914,0.78925
CVE-2001-0396,0.0208,0.80686
CVE-2001-0397,0.01791,0.77413
CVE-2001-0398,0.02041,0.803
CVE-2001-0399,0.0284,0.86078
CVE-2001-0400,0.16599,0.96902
CVE-2001-0401,0.00981,0.60613
CVE-2001-0402,0.02445,0.83641
CVE-2001-0403,0.00683,0.50383
CVE-2001-0404,0.01625,0.75088
CVE-2001-0405,0.10253,0.9552
CVE-2001-0406,0.01139,0.65173
CVE-2001-0407,0.02221,0.81928
CVE-2001-0408,0.01667,0.7573
CVE-2001-0409,0.00706,0.51318
CVE-2001-0410,0.01791,0.77413
CVE-2001-0411,0.01272,0.68578
CVE-2001-0412,0.00359,0.26873
CVE-2001-0413,0.01632,0.75201
CVE-2001-0414,0.91679,0.99812
CVE-2001-0415,0.00326,0.22939
CVE-2001-0416,0.00436,0.35161
CVE-2001-0417,0.00412,0.32714
CVE-2001-0418,0.02773,0.85738
CVE-2001-0419,0.24449,0.97797
CVE-2001-0420,0.03398,0.88363
CVE-2001-0421,0.06208,0.93255
CVE-2001-0422,0.01275,0.68656
CVE-2001-0423,0.01251,0.68107
CVE-2001-0424,0.00389,0.3014
CVE-2001-0425,0.02401,0.83309
CVE-2001-0426,0.00873,0.57128
CVE-2001-0427,0.02518,0.84149
CVE-2001-0428,0.01675,0.7584
CVE-2001-0429,0.01435,0.71937
CVE-2001-0430,0.0041,0.3244
CVE-2001-0431,0.01506,0.73244
CVE-2001-0432,0.10723,0.95664
CVE-2001-0433,0.01791,0.77412
CVE-2001-0434,0.01309,0.69375
CVE-2001-0435,0.00333,0.23903
CVE-2001-0436,0.02381,0.83165
CVE-2001-0437,0.0172,0.76466
CVE-2001-0438,0.003,0.20172
CVE-2001-0439,0.02405,0.83345
CVE-2001-0440,0.04635,0.91366
CVE-2001-0441,0.02695,0.8528
CVE-2001-0442,0.05343,0.9232
CVE-2001-0443,0.01791,0.77413
CVE-2001-0444,0.00484,0.39033
CVE-2001-0446,0.01324,0.69695
CVE-2001-0447,0.01875,0.78475
CVE-2001-0448,0.01272,0.68582
CVE-2001-0449,0.00419,0.3352
CVE-2001-0450,0.01656,0.75559
CVE-2001-0451,0.02054,0.80431
CVE-2001-0452,0.03326,0.88123
CVE-2001-0453,0.01868,0.78398
CVE-2001-0454,0.03431,0.88469
CVE-2001-0455,0.01612,0.74902
CVE-2001-0456,0.05882,0.92941
CVE-2001-0457,0.01657,0.75571
CVE-2001-0458,0.02398,0.83291
CVE-2001-0459,0.00777,0.53884
CVE-2001-0460,0.05268,0.92243
CVE-2001-0461,0.09003,0.95086
CVE-2001-0462,0.03551,0.8885
CVE-2001-0463,0.03757,0.89469
CVE-2001-0464,0.06739,0.9371
CVE-2001-0465,0.00345,0.25281
CVE-2001-0466,0.0648,0.93496
CVE-2001-0467,0.03757,0.89469
CVE-2001-0468,0.0107,0.63341
CVE-2001-0469,0.01614,0.74928
CVE-2001-0470,0.00388,0.3009
CVE-2001-0471,0.05574,0.92578
CVE-2001-0472,0.01345,0.70184
CVE-2001-0473,0.0206,0.80497
CVE-2001-0474,0.00339,0.24523
CVE-2001-0475,0.02762,0.85656
CVE-2001-0476,0.09573,0.95294
CVE-2001-0477,0.04043,0.90236
CVE-2001-0478,0.04819,0.91633
CVE-2001-0479,0.05856,0.92916
CVE-2001-0480,0.01754,0.76926
CVE-2001-0481,0.00419,0.33516
CVE-2001-0482,0.00547,0.43404
CVE-2001-0483,0.01862,0.78335
CVE-2001-0484,0.04931,0.91802
CVE-2001-0485,0.01159,0.65697
CVE-2001-0486,0.05038,0.91962
CVE-2001-0487,0.01614,0.74927
CVE-2001-0488,0.00483,0.38984
CVE-2001-0489,0.01995,0.7981
CVE-2001-0490,0.0354,0.88819
CVE-2001-0491,0.05702,0.92725
CVE-2001-0492,0.02302,0.82583
CVE-2001-0493,0.01632,0.75199
CVE-2001-0494,0.04308,0.90778
CVE-2001-0495,0.08535,0.94858
CVE-2001-0496,0.00391,0.30392
CVE-2001-0497,0.00431,0.34562
CVE-2001-0498,0.02102,0.80912
CVE-2001-0499,0.85201,0.99709
CVE-2001-0500,0.96671,0.99882
CVE-2001-0501,0.01668,0.75734
CVE-2001-0502,0.0182,0.77804
CVE-2001-0503,0.17341,0.97005
CVE-2001-0504,0.21106,0.97498
CVE-2001-0505,0.33363,0.9832
CVE-2001-0506,0.68934,0.99328
CVE-2001-0507,0.08846,0.95015
CVE-2001-0508,0.2705,0.97974
CVE-2001-0509,0.16975,0.96958
CVE-2001-0513,0.03463,0.88581
CVE-2001-0514,0.01571,0.74293
CVE-2001-0515,0.02079,0.80675
CVE-2001-0516,0.02079,0.80674
CVE-2001-0517,0.02695,0.85279
CVE-2001-0518,0.02234,0.82037
CVE-2001-0519,0.02459,0.83741
CVE-2001-0520,0.02381,0.83163
CVE-2001-0521,0.02381,0.83164
CVE-2001-0522,0.13728,0.96368
CVE-2001-0523,0.02016,0.80047
CVE-2001-0524,0.01752,0.7687
CVE-2001-0525,0.00596,0.46152
CVE-2001-0526,0.00932,0.59001
CVE-2001-0527,0.04539,0.91196
CVE-2001-0528,0.01615,0.7494
CVE-2001-0529,0.00622,0.47516
CVE-2001-0530,0.01861,0.78316
CVE-2001-0533,0.00404,0.31863
CVE-2001-0534,0.0666,0.93635
CVE-2001-0535,0.01958,0.79417
CVE-2001-0537,0.6845,0.99311
CVE-2001-0538,0.52851,0.98935
CVE-2001-0540,0.71247,0.99391
CVE-2001-0541,0.15554,0.9671
CVE-2001-0542,0.13621,0.96337
CVE-2001-0543,0.18837,0.97187
CVE-2001-0544,0.02409,0.83367
CVE-2001-0545,0.18303,0.97124
CVE-2001-0546,0.17341,0.97006
CVE-2001-0547,0.01702,0.76227
CVE-2001-0548,0.00767,0.53543
CVE-2001-0549,0.00383,0.29515
CVE-2001-0550,0.74762,0.9949
CVE-2001-0551,0.00903,0.58012
CVE-2001-0552,0.26195,0.97926
CVE-2001-0553,0.01335,0.6994
CVE-2001-0554,0.38748,0.98534
CVE-2001-0555,0.14967,0.96591
CVE-2001-0556,0.00517,0.4147
CVE-2001-0557,0.10532,0.95607
CVE-2001-0558,0.07301,0.94147
CVE-2001-0559,0.01101,0.64206
CVE-2001-0560,0.00505,0.40545
CVE-2001-0561,0.1253,0.96086
CVE-2001-0562,0.03632,0.8909
CVE-2001-0563,0.06979,0.939
CVE-2001-0564,0.03213,0.87666
CVE-2001-0565,0.01282,0.68791
CVE-2001-0566,0.06421,0.93443
CVE-2001-0567,0.0035,0.25892
CVE-2001-0568,0.00382,0.29401
CVE-2001-0569,0.00408,0.32228
CVE-2001-0570,0.00517,0.4147
CVE-2001-0571,0.08338,0.94751
CVE-2001-0572,0.07051,0.93962
CVE-2001-0573,0.00476,0.38441
CVE-2001-0574,0.03669,0.89215
CVE-2001-0575,0.00672,0.49925
CVE-2001-0576,0.00672,0.49925
CVE-2001-0577,0.00785,0.54136
CVE-2001-0578,0.00672,0.49925
CVE-2001-0579,0.02429,0.83534
CVE-2001-0580,0.05301,0.92276
CVE-2001-0581,0.07056,0.93967
CVE-2001-0582,0.00558,0.44091
CVE-2001-0583,0.01614,0.74929
CVE-2001-0584,0.0093,0.58892
CVE-2001-0585,0.01614,0.74929
CVE-2001-0586,0.00434,0.34995
CVE-2001-0587,0.00518,0.41489
CVE-2001-0588,0.00494,0.39733
CVE-2001-0589,0.00331,0.23501
CVE-2001-0590,0.10956,0.95735
CVE-2001-0591,0.04012,0.90172
CVE-2001-0592,0.01345,0.70182
CVE-2001-0593,0.03363,0.88249
CVE-2001-0594,0.00953,0.5966
CVE-2001-0595,0.01253,0.68151
CVE-2001-0596,0.08687,0.9494
CVE-2001-0597,0.01073,0.63431
CVE-2001-0598,0.0183,0.77923
CVE-2001-0599,0.01741,0.76732
CVE-2001-0600,0.01345,0.70185
CVE-2001-0601,0.0189,0.78654
CVE-2001-0602,0.01912,0.78907
CVE-2001-0603,0.01345,0.70184
CVE-2001-0604,0.01345,0.70183
CVE-2001-0605,0.01366,0.70632
CVE-2001-0606,0.02222,0.81932
CVE-2001-0607,0.00471,0.38007
CVE-2001-0608,0.04277,0.90721
CVE-2001-0609,0.18235,0.97113
CVE-2001-0610,0.00562,0.44362
CVE-2001-0611,0.01969,0.79521
CVE-2001-0612,0.02595,0.84661
CVE-2001-0613,0.01721,0.76486
CVE-2001-0614,0.03159,0.8744
CVE-2001-0615,0.03669,0.89215
CVE-2001-0616,0.07056,0.93966
CVE-2001-0617,0.01351,0.7031
CVE-2001-0618,0.00926,0.5875
CVE-2001-0619,0.01366,0.70632
CVE-2001-0620,0.00369,0.27969
CVE-2001-0621,0.01396,0.71215
CVE-2001-0622,0.0163,0.75168
CVE-2001-0623,0.00802,0.54766
CVE-2001-0624,0.00321,0.22327
CVE-2001-0625,0.00423,0.33884
CVE-2001-0626,0.07023,0.9394
CVE-2001-0627,0.00424,0.33976
CVE-2001-0628,0.02244,0.82115
CVE-2001-0629,0.0543,0.9241
CVE-2001-0630,0.03669,0.89216
CVE-2001-0631,0.01456,0.7234
CVE-2001-0632,0.02013,0.80017
CVE-2001-0633,0.02043,0.80311
CVE-2001-0634,0.00367,0.27832
CVE-2001-0635,0.00381,0.29238
CVE-2001-0636,0.02594,0.84652
CVE-2001-0641,0.01255,0.68199
CVE-2001-0642,0.00491,0.39542
CVE-2001-0643,0.11358,0.95837
CVE-2001-0644,0.01506,0.73248
CVE-2001-0645,0.0337,0.88274
CVE-2001-0646,0.03205,0.87626
CVE-2001-0647,0.0521,0.92184
CVE-2001-0648,0.02336,0.82847
CVE-2001-0649,0.05116,0.9206
CVE-2001-0650,0.02361,0.83033
CVE-2001-0652,0.00917,0.58474
CVE-2001-0653,0.01177,0.66224
CVE-2001-0658,0.14215,0.96456
CVE-2001-0659,0.07965,0.94536
CVE-2001-0660,0.2199,0.9758
CVE-2001-0662,0.22595,0.97639
CVE-2001-0663,0.31619,0.98231
CVE-2001-0664,0.18189,0.97106
CVE-2001-0665,0.12094,0.96001
CVE-2001-0666,0.02051,0.80396
CVE-2001-0667,0.1468,0.96542
CVE-2001-0668,0.05501,0.92485
CVE-2001-0669,0.0439,0.90933
CVE-2001-0670,0.06607,0.936
CVE-2001-0671,0.04766,0.91561
CVE-2001-0674,0.02336,0.82847
CVE-2001-0675,0.03213,0.87666
CVE-2001-0676,0.01464,0.72486
CVE-2001-0677,0.01059,0.63005
CVE-2001-0678,0.00595,0.46104
CVE-2001-0679,0.16027,0.96793
CVE-2001-0680,0.06005,0.93057
CVE-2001-0681,0.0136,0.70513
CVE-2001-0682,0.00208,0.09662
CVE-2001-0683,0.01345,0.70182
CVE-2001-0684,0.01912,0.78907
CVE-2001-0685,0.00769,0.53646
CVE-2001-0686,0.00483,0.38957
CVE-2001-0687,0.01697,0.76157
CVE-2001-0688,0.05088,0.9203
CVE-2001-0689,0.01366,0.70631
CVE-2001-0690,0.11891,0.95956
CVE-2001-0691,0.00497,0.39976
CVE-2001-0692,0.01786,0.77344
CVE-2001-0693,0.03059,0.87047
CVE-2001-0694,0.0163,0.75167
CVE-2001-0695,0.01345,0.70184
CVE-2001-0696,0.02661,0.85068
CVE-2001-0697,0.07132,0.94028
CVE-2001-0698,0.02276,0.82363
CVE-2001-0699,0.0046,0.37192
CVE-2001-0700,0.12628,0.96103
CVE-2001-0701,0.01009,0.61507
CVE-2001-0702,0.09773,0.95363
CVE-2001-0703,0.07224,0.94093
CVE-2001-0704,0.02813,0.85939
CVE-2001-0705,0.08141,0.94638
CVE-2001-0706,0.00961,0.59928
CVE-2001-0707,0.01258,0.68274
CVE-2001-0708,0.01803,0.77568
CVE-2001-0709,0.35559,0.98401
CVE-2001-0710,0.0176,0.77
CVE-2001-0711,0.03201,0.87607
CVE-2001-0712,0.05964,0.93017
CVE-2001-0713,0.00326,0.22939
CVE-2001-0714,0.00286,0.18735
CVE-2001-0715,0.00415,0.33072
CVE-2001-0716,0.01681,0.75918
CVE-2001-0717,0.05714,0.92738
CVE-2001-0718,0.11055,0.95761
CVE-2001-0719,0.17501,0.97028
CVE-2001-0720,0.02092,0.80814
CVE-2001-0721,0.17341,0.97006
CVE-2001-0722,0.27643,0.98016
CVE-2001-0723,0.11359,0.95838
CVE-2001-0724,0.12316,0.96046
CVE-2001-0726,0.16119,0.96807
CVE-2001-0727,0.31007,0.98203
CVE-2001-0728,0.00405,0.31918
CVE-2001-0729,0.06765,0.93731
CVE-2001-0730,0.11922,0.95964
CVE-2001-0731,0.56756,0.99033
CVE-2001-0733,0.02798,0.8586
CVE-2001-0734,0.00363,0.27406
CVE-2001-0735,0.0164,0.75322
CVE-2001-0736,0.00815,0.55206
CVE-2001-0737,0.01697,0.76145
CVE-2001-0738,0.0258,0.84553
CVE-2001-0739,0.00393,0.30659
CVE-2001-0740,0.04054,0.90262
CVE-2001-0741,0.01326,0.69748
CVE-2001-0742,0.01359,0.70485
CVE-2001-0743,0.0521,0.92184
CVE-2001-0744,0.00356,0.26547
CVE-2001-0745,0.01697,0.76157
CVE-2001-0746,0.15198,0.96631
CVE-2001-0747,0.02632,0.8489
CVE-2001-0748,0.09215,0.95165
CVE-2001-0749,0.01727,0.76554
CVE-2001-0750,0.01675,0.75839
CVE-2001-0751,0.02615,0.84777
CVE-2001-0752,0.01657,0.7557
CVE-2001-0753,0.01162,0.65789
CVE-2001-0754,0.01291,0.68981
CVE-2001-0755,0.02182,0.81582
CVE-2001-0756,0.02317,0.82698
CVE-2001-0757,0.02514,0.84115
CVE-2001-0758,0.04181,0.90536
CVE-2001-0759,0.0134,0.70084
CVE-2001-0760,0.03605,0.89013
CVE-2001-0761,0.03364,0.88253
CVE-2001-0762,0.00856,0.56575
CVE-2001-0763,0.17166,0.96981
CVE-2001-0764,0.01444,0.72109
CVE-2001-0765,0.00439,0.35441
CVE-2001-0766,0.08161,0.9465
CVE-2001-0767,0.01709,0.76318
CVE-2001-0768,0.00326,0.2294
CVE-2001-0769,0.01258,0.68279
CVE-2001-0770,0.03215,0.87675
CVE-2001-0771,0.02135,0.81201
CVE-2001-0772,0.00575,0.45039
CVE-2001-0773,0.0222,0.81915
CVE-2001-0774,0.00367,0.27773
CVE-2001-0775,0.16344,0.96849
CVE-2001-0776,0.01812,0.77701
CVE-2001-0777,0.01721,0.76485
CVE-2001-0778,0.06302,0.93344
CVE-2001-0779,0.62188,0.99155
CVE-2001-0780,0.07453,0.94235
CVE-2001-0781,0.02485,0.83917
CVE-2001-0782,0.00856,0.56588
CVE-2001-0783,0.01735,0.76661
CVE-2001-0784,0.09357,0.95212
CVE-2001-0785,0.01754,0.76926
CVE-2001-0786,0.01096,0.64112
CVE-2001-0787,0.00717,0.51731
CVE-2001-0788,0.0602,0.93073
CVE-2001-0789,0.07246,0.94109
CVE-2001-0790,0.01272,0.68581
CVE-2001-0791,0.04532,0.91186
CVE-2001-0792,0.02818,0.85968
CVE-2001-0794,0.01798,0.77498
CVE-2001-0795,0.02038,0.80257
CVE-2001-0796,0.01632,0.75202
CVE-2001-0797,0.94739,0.99856
CVE-2001-0799,0.04168,0.90504
CVE-2001-0800,0.54115,0.98971
CVE-2001-0801,0.0046,0.37199
CVE-2001-0803,0.85564,0.99718
CVE-2001-0804,0.03669,0.89215
CVE-2001-0805,0.07938,0.94524
CVE-2001-0806,0.00341,0.24871
CVE-2001-0807,0.06973,0.93895
CVE-2001-0808,0.03526,0.88778
CVE-2001-0809,0.00416,0.33145
CVE-2001-0815,0.14423,0.96498
CVE-2001-0816,0.01794,0.77451
CVE-2001-0817,0.10238,0.95515
CVE-2001-0818,0.04009,0.90165
CVE-2001-0819,0.06374,0.93402
CVE-2001-0820,0.12697,0.96118
CVE-2001-0821,0.03873,0.89804
CVE-2001-0822,0.0176,0.77001
CVE-2001-0823,0.00975,0.60435
CVE-2001-0824,0.02273,0.82334
CVE-2001-0825,0.03604,0.89011
CVE-2001-0826,0.04003,0.9015
CVE-2001-0827,0.01315,0.695
CVE-2001-0828,0.02543,0.84308
CVE-2001-0829,0.12176,0.96014
CVE-2001-0830,0.05665,0.92689
CVE-2001-0831,0.00562,0.44337
CVE-2001-0832,0.00489,0.3942
CVE-2001-0833,0.02146,0.81291
CVE-2001-0834,0.02635,0.8491
CVE-2001-0835,0.03382,0.88313
CVE-2001-0836,0.14665,0.96538
CVE-2001-0837,0.00332,0.23625
CVE-2001-0838,0.06951,0.93876
CVE-2001-0839,0.07023,0.93939
CVE-2001-0840,0.08961,0.95071
CVE-2001-0841,0.0272,0.85415
CVE-2001-0842,0.0272,0.85415
CVE-2001-0843,0.02847,0.86115
CVE-2001-0844,0.03644,0.8914
CVE-2001-0845,0.00358,0.26762
CVE-2001-0846,0.41228,0.98619
CVE-2001-0847,0.02423,0.83485
CVE-2001-0848,0.00326,0.22939
CVE-2001-0849,0.02756,0.85622
CVE-2001-0850,0.02335,0.82843
CVE-2001-0851,0.03087,0.87158
CVE-2001-0852,0.08652,0.94922
CVE-2001-0853,0.03867,0.89788
CVE-2001-0854,0.01481,0.72811
CVE-2001-0855,0.00862,0.56753
CVE-2001-0856,0.00468,0.37829
CVE-2001-0857,0.07873,0.9449
CVE-2001-0858,0.00366,0.27693
CVE-2001-0859,0.01827,0.77896
CVE-2001-0860,0.04828,0.91644
CVE-2001-0861,0.01675,0.75839
CVE-2001-0862,0.01626,0.75102
CVE-2001-0863,0.01675,0.75839
CVE-2001-0864,0.01392,0.71154
CVE-2001-0865,0.01396,0.71216
CVE-2001-0866,0.01711,0.76354
CVE-2001-0867,0.01711,0.76354
CVE-2001-0868,0.02328,0.82779
CVE-2001-0869,0.03,0.8681
CVE-2001-0870,0.02414,0.83409
CVE-2001-0871,0.02966,0.86659
CVE-2001-0872,0.00871,0.57044
CVE-2001-0873,0.01077,0.63518
CVE-2001-0874,0.21815,0.97559
CVE-2001-0875,0.2806,0.98041
CVE-2001-0876,0.49483,0.98852
CVE-2001-0877,0.43764,0.98698
CVE-2001-0879,0.07362,0.94182
CVE-2001-0884,0.01909,0.7888
CVE-2001-0886,0.00612,0.47009
CVE-2001-0887,0.00317,0.21948
CVE-2001-0888,0.02442,0.83615
CVE-2001-0889,0.06354,0.93388
CVE-2001-0890,0.00382,0.29402
CVE-2001-0891,0.00349,0.25773
CVE-2001-0892,0.01859,0.78296
CVE-2001-0893,0.02533,0.84247
CVE-2001-0894,0.01907,0.78853
CVE-2001-0895,0.0235,0.82952
CVE-2001-0896,0.01632,0.75199
CVE-2001-0897,0.01934,0.79158
CVE-2001-0898,0.03092,0.87178
CVE-2001-0899,0.08908,0.95048
CVE-2001-0900,0.07899,0.94504
CVE-2001-0901,0.02626,0.84844
CVE-2001-0902,0.18594,0.97158
CVE-2001-0903,0.01653,0.75508
CVE-2001-0904,0.07012,0.93931
CVE-2001-0905,0.00322,0.22467
CVE-2001-0906,0.00945,0.59389
CVE-2001-0907,0.00789,0.54292
CVE-2001-0908,0.01406,0.71419
CVE-2001-0909,0.19739,0.97312
CVE-2001-0910,0.02443,0.83626
CVE-2001-0911,0.03871,0.89799
CVE-2001-0912,0.00381,0.29251
CVE-2001-0913,0.02902,0.86378
CVE-2001-0914,0.0039,0.30262
CVE-2001-0915,0.00698,0.50996
CVE-2001-0916,0.00768,0.53609
CVE-2001-0917,0.08176,0.94659
CVE-2001-0918,0.01707,0.76301
CVE-2001-0919,0.02715,0.85392
CVE-2001-0920,0.00387,0.2996
CVE-2001-0921,0.00614,0.47134
CVE-2001-0922,0.01571,0.7429
CVE-2001-0923,0.00605,0.4664
CVE-2001-0924,0.08126,0.9463
CVE-2001-0925,0.75238,0.99497
CVE-2001-0926,0.02469,0.83807
CVE-2001-0927,0.02832,0.86042
CVE-2001-0928,0.06053,0.93108
CVE-2001-0929,0.02091,0.80799
CVE-2001-0930,0.01875,0.78474
CVE-2001-0931,0.04346,0.90849
CVE-2001-0932,0.2264,0.97643
CVE-2001-0933,0.044,0.90947
CVE-2001-0934,0.04443,0.91032
CVE-2001-0935,0.01477,0.72737
CVE-2001-0936,0.01527,0.73578
CVE-2001-0937,0.01875,0.78473
CVE-2001-0938,0.03179,0.87521
CVE-2001-0939,0.01632,0.75198
CVE-2001-0940,0.0393,0.89969
CVE-2001-0941,0.01663,0.75663
CVE-2001-0942,0.00562,0.44336
CVE-2001-0943,0.01967,0.79492
CVE-2001-0944,0.00345,0.25216
CVE-2001-0945,0.19788,0.97317
CVE-2001-0946,0.0041,0.32418
CVE-2001-0947,0.0245,0.83683
CVE-2001-0948,0.02286,0.82432
CVE-2001-0949,0.04063,0.90276
CVE-2001-0950,0.01594,0.74633
CVE-2001-0951,0.27404,0.97997
CVE-2001-0952,0.03178,0.87519
CVE-2001-0953,0.02587,0.8459
CVE-2001-0954,0.01632,0.75198
CVE-2001-0955,0.00454,0.36731
CVE-2001-0956,0.01582,0.74454
CVE-2001-0958,0.05022,0.91935
CVE-2001-0959,0.02973,0.86687
CVE-2001-0960,0.03364,0.88252
CVE-2001-0961,0.05544,0.92537
CVE-2001-0962,0.01588,0.74543
CVE-2001-0963,0.02044,0.80332
CVE-2001-0964,0.02061,0.80506
CVE-2001-0965,0.07132,0.94028
CVE-2001-0966,0.0303,0.86935
CVE-2001-0967,0.00954,0.59688
CVE-2001-0968,0.0216,0.81412
CVE-2001-0969,0.01896,0.78725
CVE-2001-0970,0.03355,0.88222
CVE-2001-0971,0.02197,0.81723
CVE-2001-0972,0.03823,0.89666
CVE-2001-0973,0.02025,0.80141
CVE-2001-0974,0.0631,0.93353
CVE-2001-0975,0.08777,0.94984
CVE-2001-0976,0.00529,0.42277
CVE-2001-0977,0.04093,0.90347
CVE-2001-0978,0.02144,0.81275
CVE-2001-0979,0.01555,0.74073
CVE-2001-0980,0.02355,0.82996
CVE-2001-0981,0.02474,0.83841
CVE-2001-0982,0.023,0.82561
CVE-2001-0983,0.00439,0.35411
CVE-2001-0984,0.00348,0.25562
CVE-2001-0985,0.03867,0.89786
CVE-2001-0986,0.4816,0.98817
CVE-2001-0987,0.07177,0.94067
CVE-2001-0988,0.00346,0.25313
CVE-2001-0989,0.00825,0.5554
CVE-2001-0990,0.00347,0.25516
CVE-2001-0991,0.07101,0.94003
CVE-2001-0992,0.02052,0.80416
CVE-2001-0993,0.00332,0.23629
CVE-2001-0994,0.01614,0.74931
CVE-2001-0995,0.01588,0.74546
CVE-2001-0996,0.01694,0.76114
CVE-2001-0997,0.02052,0.80416
CVE-2001-0998,0.02888,0.86306
CVE-2001-0999,0.12292,0.96041
CVE-2001-1000,0.00846,0.56206
CVE-2001-1002,0.09324,0.95202
CVE-2001-1003,0.00352,0.2614
CVE-2001-1004,0.01154,0.65587
CVE-2001-1005,0.00714,0.5162
CVE-2001-1006,0.01096,0.64112
CVE-2001-1007,0.01065,0.63196
CVE-2001-1008,0.01727,0.76544
CVE-2001-1009,0.06524,0.93529
CVE-2001-1010,0.0702,0.93937
CVE-2001-1011,0.04425,0.90986
CVE-2001-1012,0.00331,0.23472
CVE-2001-1013,0.65563,0.99239
CVE-2001-1014,0.02329,0.82788
CVE-2001-1015,0.01535,0.73727
CVE-2001-1016,0.0136,0.70508
CVE-2001-1017,0.00367,0.27832
CVE-2001-1018,0.02302,0.82582
CVE-2001-1019,0.02012,0.80013
CVE-2001-1020,0.03374,0.88284
CVE-2001-1021,0.42141,0.98647
CVE-2001-1022,0.11438,0.95855
CVE-2001-1023,0.01522,0.73497
CVE-2001-1024,0.02184,0.81597
CVE-2001-1025,0.02773,0.85739
CVE-2001-1026,0.01582,0.74463
CVE-2001-1027,0.06358,0.93391
CVE-2001-1028,0.00397,0.311
CVE-2001-1029,0.01368,0.70654
CVE-2001-1030,0.01962,0.7945
CVE-2001-1031,0.01961,0.79442
CVE-2001-1032,0.03124,0.87305
CVE-2001-1033,0.01614,0.74928
CVE-2001-1034,0.0047,0.37958
CVE-2001-1035,0.0211,0.80977
CVE-2001-1036,0.00897,0.57838
CVE-2001-1037,0.00486,0.39219
CVE-2001-1038,0.01929,0.79107
CVE-2001-1039,0.02386,0.83202
CVE-2001-1040,0.02452,0.83697
CVE-2001-1041,0.00584,0.45511
CVE-2001-1042,0.03287,0.87978
CVE-2001-1043,0.03323,0.88112
CVE-2001-1044,0.06936,0.93867
CVE-2001-1045,0.03764,0.89492
CVE-2001-1046,0.01907,0.78859
CVE-2001-1047,0.00269,0.16906
CVE-2001-1048,0.01588,0.74544
CVE-2001-1049,0.01588,0.74543
CVE-2001-1050,0.01571,0.74295
CVE-2001-1051,0.01791,0.77405
CVE-2001-1052,0.01571,0.74289
CVE-2001-1053,0.03441,0.88505
CVE-2001-1054,0.01588,0.74544
CVE-2001-1055,0.2226,0.976
CVE-2001-1056,0.02439,0.83599
CVE-2001-1057,0.01614,0.74927
CVE-2001-1058,0.01584,0.74483
CVE-2001-1059,0.00389,0.30156
CVE-2001-1060,0.03251,0.87813
CVE-2001-1061,0.0184,0.78042
CVE-2001-1062,0.00431,0.34672
CVE-2001-1063,0.00388,0.30091
CVE-2001-1064,0.05369,0.92348
CVE-2001-1065,0.01081,0.63656
CVE-2001-1066,0.00331,0.23531
CVE-2001-1067,0.1611,0.96805
CVE-2001-1068,0.01106,0.64341
CVE-2001-1069,0.00714,0.51612
CVE-2001-1070,0.00848,0.56282
CVE-2001-1071,0.0231,0.82644
CVE-2001-1072,0.04313,0.90785
CVE-2001-1073,0.01697,0.76158
CVE-2001-1074,0.00514,0.41241
CVE-2001-1075,0.02734,0.8549
CVE-2001-1076,0.01398,0.71255
CVE-2001-1077,0.01065,0.63183
CVE-2001-1078,0.05444,0.92424
CVE-2001-1079,0.00335,0.24066
CVE-2001-1080,0.0595,0.93001
CVE-2001-1081,0.02759,0.85635
CVE-2001-1082,0.01411,0.71491
CVE-2001-1083,0.09628,0.95311
CVE-2001-1084,0.03113,0.87253
CVE-2001-1085,0.00693,0.50785
CVE-2001-1086,0.02844,0.86098
CVE-2001-1087,0.01571,0.74293
CVE-2001-1088,0.19711,0.97308
CVE-2001-1089,0.01571,0.74291
CVE-2001-1090,0.01571,0.7429
CVE-2001-1091,0.00331,0.23473
CVE-2001-1092,0.01107,0.64379
CVE-2001-1093,0.01306,0.69309
CVE-2001-1094,0.00329,0.23202
CVE-2001-1095,0.00434,0.3498
CVE-2001-1096,0.00426,0.3416
CVE-2001-1097,0.0432,0.90797
CVE-2001-1098,0.00463,0.37425
CVE-2001-1099,0.03238,0.87761
CVE-2001-1100,0.03672,0.89225
CVE-2001-1101,0.01473,0.72666
CVE-2001-1102,0.00299,0.20085
CVE-2001-1103,0.02059,0.80475
CVE-2001-1104,0.06972,0.93894
CVE-2001-1105,0.02685,0.85219
CVE-2001-1106,0.02386,0.83203
CVE-2001-1107,0.03257,0.87858
CVE-2001-1108,0.0282,0.85981
CVE-2001-1109,0.07977,0.94541
CVE-2001-1110,0.01324,0.69694
CVE-2001-1111,0.00348,0.25561
