#model_version:v2026.06.15,score_date:2026-09-24T12:00:20Z
cve,epss,percentile
CVE-1999-0161,0.017,0.7619
CVE-1999-0162,0.01654,0.75519
CVE-1999-0163,0.00437,0.35319
CVE-1999-0164,0.00293,0.1947
CVE-1999-0165,0.01954,0.79384
CVE-1999-0166,0.01403,0.7137
CVE-1999-0167,0.00388,0.30094
CVE-1999-0168,0.01774,0.7721
CVE-1999-0169,0.01941,0.79253
CVE-1999-0170,0.18745,0.97176
CVE-1999-0171,0.00368,0.27928
CVE-1999-0172,0.03355,0.88222
CVE-1999-0173,0.04923,0.9179
CVE-1999-0174,0.06901,0.93837
CVE-1999-0175,0.06153,0.93207
CVE-1999-0176,0.08717,0.9495
CVE-1999-0177,0.02035,0.8023
CVE-1999-0178,0.12455,0.96068
CVE-1999-0179,0.06027,0.93079
CVE-1999-0180,0.02066,0.80551
CVE-1999-0181,0.01309,0.69365
CVE-1999-0182,0.09694,0.95335
CVE-1999-0183,0.01555,0.7407
CVE-1999-0184,0.01909,0.78879
CVE-1999-0185,0.07323,0.94159
CVE-1999-0186,0.04228,0.9063
CVE-1999-0188,0.00378,0.28929
CVE-1999-0189,0.01175,0.66167
CVE-1999-0190,0.00378,0.28929
CVE-1999-0191,0.53303,0.98948
CVE-1999-0192,0.10041,0.95454
CVE-1999-0193,0.04886,0.91736
CVE-1999-0194,0.01386,0.71025
CVE-1999-0195,0.01518,0.73439
CVE-1999-0196,0.13417,0.96285
CVE-1999-0197,0.01648,0.75446
CVE-1999-0198,0.01648,0.75446
CVE-1999-0199,0.02402,0.83314
CVE-1999-0200,0.01603,0.74769
CVE-1999-0201,0.06212,0.93262
CVE-1999-0202,0.02013,0.80017
CVE-1999-0203,0.02124,0.81099
CVE-1999-0204,0.08839,0.95012
CVE-1999-0205,0.01348,0.70245
CVE-1999-0206,0.01895,0.78716
CVE-1999-0207,0.08717,0.9495
CVE-1999-0208,0.12856,0.96159
CVE-1999-0209,0.4853,0.98826
CVE-1999-0210,0.06222,0.93271
CVE-1999-0211,0.01616,0.74959
CVE-1999-0212,0.01617,0.74973
CVE-1999-0213,0.01891,0.78672
CVE-1999-0214,0.01891,0.78672
CVE-1999-0215,0.05842,0.92895
CVE-1999-0216,0.02622,0.8482
